EmployeeID,EmployeeIName,BirthDate,Gender,CityID,HireDate
1,Nicole Fuller,3/7/1981 0:00,F,80,6/20/2011 7:15
2,Christine Palmer,1/25/1968 0:00,F,4,4/27/2011 4:07
3,Pablo Cline,2/9/1963 0:00,M,70,3/30/2012 18:55
4,Darnell Nielsen,2/6/1989 0:00,M,39,3/6/2014 6:55
5,Desiree Stuart,5/3/1963 0:00,F,23,11/16/2014 22:59
6,Holly Collins,1/13/1987 0:00,M,65,6/22/2013 13:20
7,Chadwick Cook,5/2/1970 0:00,M,39,7/10/2016 6:22
8,Julie Dyer,12/13/1956 0:00,M,18,10/14/2014 23:12
9,Daphne King,5/2/1956 0:00,F,39,4/17/2013 14:48
10,Jean Vang,12/30/1963 0:00,M,9,7/23/2012 15:02
11,Sonya Dickson,1/14/1976 0:00,F,12,8/10/2016 15:59
12,Lindsay Chen,9/3/1951 0:00,F,58,11/3/2011 0:44
13,Katina Marks,4/18/1963 0:00,M,68,12/12/2011 10:43
14,Wendi Buckley,9/5/1961 0:00,M,32,7/11/2016 0:57
15,Kari Finley,2/17/1972 0:00,M,92,7/13/2014 6:50
16,Chadwick Walton,7/7/1951 0:00,M,28,2/10/2017 11:21
17,Seth Franco,8/29/1989 0:00,M,80,7/11/2010 9:23
18,Warren Bartlett,3/9/1964 0:00,M,58,2/22/2010 21:55
19,Bernard Moody,3/22/1970 0:00,M,54,11/12/2013 19:25
20,Shelby Riddle,6/13/1964 0:00,M,14,3/24/2013 8:36
21,Devon Brewer,4/25/1966 0:00,M,65,1/24/2016 2:13
22,Tonia Mc Millan,3/2/1952 0:00,F,53,11/25/2015 18:18
23,Janet Flowers,3/1/1979 0:00,F,7,5/12/2010 2:52
